Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,P23368,-0.085775375,9.1415205,11.309168,3,0.000142572,0.42357042,0.6037444
HUMAN,P23381,-0.09626961,11.342562,8.60459,3,0.000142572,0.36190048,0.57264644
HUMAN,P23396,-0.10464001,13.295079,6.958284,3,0.000142572,0.22408561,0.5068742
HUMAN,P23434,-0.021775246,8.817412,6.268683,3,0.000142572,0.74731094,0.824246
HUMAN,P23443,0.014032364,8.136451,24.518541,3,0.000142572,0.95692223,0.9704538
HUMAN,P23497,-0.11732483,9.627122,7.994474,3,0.000142572,0.18608439,0.4735362
HUMAN,P23511,0.007288933,8.211774,17.475073,3,0.000142572,0.95998865,0.9718688
HUMAN,P23526,-0.31231022,12.448365,7.1260405,3,0.000142572,0.008633493,0.038192872
HUMAN,P23528,-0.1031971,13.596742,7.359037,3,0.000142572,0.24808626,0.5195192
HUMAN,P23588,-0.054106712,11.254311,6.5493155,3,0.000142572,0.48142397,0.6381301
HUMAN,P23634,0.07080412,7.863745,19.603966,3,0.000142572,0.74400467,0.82134235
HUMAN,P23677,-0.03507805,9.930593,9.983354,3,0.000142572,0.6798394,0.77347904
HUMAN,P23786,-0.020295143,10.347953,8.426947,3,0.000142572,0.79116833,0.8558939
HUMAN,P23919,-0.13535023,9.503073,8.843679,3,0.000142572,0.20386094,0.49111813
HUMAN,P23921,-0.1072464,10.95553,7.0667443,3,0.000142572,0.21733633,0.5007779
HUMAN,P24468,-0.02705574,6.586673,19.155504,3,0.000142572,0.89910895,0.932772
HUMAN,P24534,-0.065779686,12.685505,5.418446,3,0.000142572,0.26019958,0.52518517
HUMAN,P24539,-0.10359383,11.070949,8.95683,3,0.000142572,0.28019708,0.5339762
HUMAN,P24666,-0.14744663,11.177338,11.450562,3,0.000142572,0.24955092,0.5195568
