Species,ProteinGroup,log2_diff,log2_mean,max_cv,min_n,max_qval,p_value,p_adj
HUMAN,O43791,-0.014703274,6.7444825,22.476007,3,0.0012141817,0.950895,0.99997884
HUMAN,O43808,-0.027316093,10.718201,13.586252,3,0.000142572,0.8383833,0.99997884
HUMAN,O43809,-0.0069007874,10.602676,10.881638,3,0.000142572,0.9535304,0.99997884
HUMAN,O43813,-0.13821983,9.818532,11.620482,3,0.000142572,0.22719431,0.7017635
HUMAN,O43815,-0.05915928,9.35662,10.095244,3,0.000142572,0.5692568,0.99997884
HUMAN,O43818,0.035429,10.09757,4.90318,3,0.000142572,0.5392146,0.99997884
HUMAN,O43819,-0.17073727,8.957008,19.747297,3,0.000142572,0.3576471,0.9399366
HUMAN,O43823,-0.1129961,9.352877,10.004785,3,0.000142572,0.2503469,0.7548452
HUMAN,O43837,-0.0022640228,10.363498,14.284154,3,0.000142572,0.98873854,0.99997884
HUMAN,O43847,0.0033826828,10.735305,7.2815757,3,0.000142572,0.9671132,0.99997884
HUMAN,O43852,0.0058078766,11.349084,8.6524515,3,0.000142572,0.9502372,0.99997884
HUMAN,O43865,0.053878784,10.882615,8.146398,3,0.000142572,0.52381104,0.99997884
HUMAN,O43913,-0.03552437,9.453774,12.584272,3,0.000142572,0.76314247,0.99997884
HUMAN,O43920,-0.08882332,9.066302,6.1135707,3,0.000142572,0.18331274,0.59573984
HUMAN,O43929,0.10110092,9.381787,10.65499,3,0.000142572,0.3115921,0.86496896
HUMAN,O43933,-0.02445507,8.860141,16.511198,3,0.000142572,0.8671165,0.99997884
HUMAN,O60216,-0.008140564,10.851715,6.7183547,3,0.000142572,0.91207534,0.99997884
HUMAN,O60220,-0.0075321198,10.281941,14.20853,3,0.000142572,0.9572227,0.99997884
HUMAN,O60231,0.06804466,9.5389,10.007768,3,0.000142572,0.5397526,0.99997884
HUMAN,O60232,0.0004491806,9.398783,8.497025,3,0.000142572,0.9955839,0.99997884
HUMAN,O60234,-0.23231983,8.457095,9.873929,3,0.000142572,0.07175291,0.2679549
HUMAN,O60244,-0.029363632,10.574576,11.854197,3,0.000142572,0.83097327,0.99997884
HUMAN,O60256,-0.009462357,10.123182,12.145228,3,0.000142572,0.9455065,0.99997884
HUMAN,O60264,-0.02210331,11.06575,8.719316,3,0.000142572,0.8112495,0.99997884
